date,depth,light_incub,P_manip
31-05-2015,1,0.03,0.0503290841
,,0.03,0.0495351108
,,0.01,0.0557545682
,,0.01,0.0501967552
,,0.03,0.0513877152
,,0.24,0.0581364881
,,0.64,0.056019226
,,1.49,0.0617093678
,,3.19,0.0771918468
,,6.72,0.1350195675
,,13.71,0.2156078556
,,18.27,0.2273851259
,,24.26,0.3794310093
,,33.92,0.4010006168
,,43.32,0.4921752153
,,62.79,0.6050517501
,,108.79,0.5936714664
,,131.09,0.6893452468
,,175.14,0.875928968
,,202.4,0.9320364132
,,252.9,1.2398333887
,,303.7,1.164273598
,,427.3,1.1338379556
,,465.7,
,,546.7,1.0020383909
,,555.1,
,,688.1,1.2035752755
,,920.9,0.9915844093
31-05-2015,5,0,0.0520239834
,,0,0.0542331617
,,0,0.0535834034
,,0,0.0569621467
,,0.49,0.056832195
,,0.95,0.0642394399
,,1.9,0.0719065882
,,2.86,0.0884104497
,,4.35,0.1202486077
,,9.77,0.2047171902
,,12.75,0.2837278027
,,15.59,0.2745012345
,,18.25,0.395486235
,,21.33,0.3859997634
,,34.21,0.6074374012
,,48.94,0.6698142006
,,56.11,0.8477180305
,,70.71,0.9136035248
,,89.02,1.1463469575
,,107.45,1.0239324887
,,125.81,
,,168.95,1.2794174628
,,214.6,1.1234754644
,,229.3,1.3099561042
,,269.9,1.1810440521
,,302.2,1.1102203945
,,315.2,1.1120397178
,,353.9,0.9498600394
31-05-2015,10,0,0.0440816715
,,0.02,0.0495866674
,,0.01,0.0487108726
,,0.02,0.0485857591
,,0.49,0.0487108726
,,0.94,0.0544660956
,,2.13,0.0664769956
,,2.69,0.0831170968
,,4.8,0.1010083334
,,10.19,0.149802615
,,13.28,0.1704463496
,,16.34,0.1870864507
,,20.27,0.2103575697
,,23.74,0.3212081684
,,33.44,0.3486080343
,,47.15,0.4132917358
,,67.55,0.5889511496
,,93.02,0.6314897541
,,125.49,0.5978342112
,,165.13,0.9637913233
,,213.6,
,,240.7,
,,263,
,,267.4,1.0225946884
,,294.1,0.8302951733
,,350.9,0.8022697398
,,324.6,0.8546923142
,,358.5,0.7134391245
31-05-2015,20,0,0.0505357224
,,-0.03,0.0511700621
,,-0.02,0.0521850054
,,-0.03,0.0570059865
,,0,0.0506625904
,,-0.01,0.0595433449
,,0.09,0.0542148922
,,0.08,0.052946213
,,0.59,0.0563716469
,,0.42,0.0584015336
,,1.56,0.069312175
