Date/Time	Latitude_N	Longitude_E	SWD [W/m**2]	PAR down above surface W/m2	PAR just below surf (W/m2)	PAR just below surface (µmol)
2015-05-19T00:05	53.567	8.5552	0	0	0	0
2015-05-19T00:15	53.567	8.5552	0	0	0	0
2015-05-19T00:25	53.567	8.5552	0	0	0	0
2015-05-19T00:35	53.567	8.5553	0	0	0	0
2015-05-19T00:45	53.567	8.5553	0	0	0	0
2015-05-19T00:55	53.567	8.5552	-1	-0.47	-0.54144	-2.4852096
2015-05-19T01:05	53.567	8.5553	-1	-0.47	-0.54144	-2.4852096
2015-05-19T01:15	53.567	8.5553	0	0	0	0
2015-05-19T01:25	53.567	8.5553	0	0	0	0
2015-05-19T01:35	53.567	8.5552	0	0	0	0
2015-05-19T01:45	53.567	8.5552	0	0	0	0
2015-05-19T01:55	53.567	8.5552	-1	-0.47	-0.54144	-2.4852096
2015-05-19T02:05	53.567	8.5553	-1	-0.47	-0.54144	-2.4852096
2015-05-19T02:15	53.567	8.5552	-1	-0.47	-0.54144	-2.4852096
2015-05-19T02:25	53.567	8.5552	0	0	0	0
2015-05-19T02:35	53.567	8.5553	0	0	0	0
2015-05-19T02:45	53.567	8.5552	-1	-0.47	-0.54144	-2.4852096
2015-05-19T02:55	53.567	8.5553	-1	-0.47	-0.54144	-2.4852096
2015-05-19T03:05	53.567	8.5553	0	0	0	0
2015-05-19T03:15	53.567	8.5553	1	0.47	0.54144	2.4852096
2015-05-19T03:25	53.567	8.5552	2	0.94	1.08288	4.9704192
2015-05-19T03:35	53.567	8.5552	4	1.88	2.16576	9.9408384
2015-05-19T03:45	53.567	8.5553	14	6.58	7.58016	34.7929344
2015-05-19T03:55	53.567	8.5553	19	8.93	10.28736	47.2189824
2015-05-19T04:05	53.567	8.5553	12	5.64	6.49728	29.8225152
2015-05-19T04:15	53.567	8.5553	14	6.58	7.58016	34.7929344
2015-05-19T04:25	53.567	8.5552	13	6.11	7.03872	32.3077248
2015-05-19T04:35	53.567	8.5552	13	6.11	7.03872	32.3077248
2015-05-19T04:45	53.567	8.5552	15	7.05	8.1216	37.278144
2015-05-19T04:55	53.567	8.5552	24	11.28	12.99456	59.6450304
2015-05-19T05:05	53.567	8.5552	55	25.85	29.7792	136.686528
2015-05-19T05:15	53.567	8.5552	83	39.01	44.93952	206.2723968
2015-05-19T05:25	53.567	8.5552	101	47.47	54.68544	251.0061696
2015-05-19T05:35	53.567	8.5553	91	42.77	49.27104	226.1540736
2015-05-19T05:45	53.567	8.5552	119	55.93	64.43136	295.7399424
2015-05-19T05:55	53.567	8.5552	202	94.94	109.37088	502.0123392
2015-05-19T06:05	53.567	8.5552	296	139.12	160.26624	735.6220416
2015-05-19T06:25	53.567	8.5552	150	70.5	81.216	372.78144
2015-05-19T06:35	53.567	8.5552	186	87.42	100.70784	462.2489856
2015-05-19T06:45	53.567	8.5553	485	227.95	262.5984	1205.326656
2015-05-19T06:55	53.567	8.5553	494	232.18	267.47136	1227.693542
2015-05-19T07:05	53.567	8.5553	525	246.75	284.256	1304.73504
2015-05-19T07:15	53.567	8.5552	546	256.62	295.62624	1356.924442
2015-05-19T07:25	53.567	8.5553	477	224.19	258.26688	1185.444979
2015-05-19T07:35	53.567	8.5552	395	185.65	213.8688	981.657792
2015-05-19T07:45	53.567	8.5552	415	195.05	224.6976	1031.361984
2015-05-19T07:55	53.567	8.5552	242	113.74	131.02848	601.4207232
2015-05-19T08:05	53.567	8.5552	161	75.67	87.17184	400.1187456
2015-05-19T08:15	53.567	8.5552	92	43.24	49.81248	228.6392832
2015-05-19T08:25	53.567	8.5552	164	77.08	88.79616	407.5743744
2015-05-19T08:35	53.567	8.5552	709	333.23	383.88096	1762.013606
2015-05-19T08:45	53.567	8.5552	619	290.93	335.15136	1538.344742
2015-05-19T08:55	53.567	8.5552	672	315.84	363.84768	1670.060851
2015-05-19T09:05	53.567	8.5552	770	361.9	416.9088	1913.611392
2015-05-19T09:15	53.567	8.5552	516	242.52	279.38304	1282.368154
2015-05-19T09:25	53.567	8.5553	400	188	216.576	994.08384
2015-05-19T09:35	53.567	8.5552	436	204.92	236.06784	1083.551386
2015-05-19T09:45	53.567	8.5552	918	431.46	497.04192	2281.422413
2015-05-19T09:55	53.567	8.5552	513	241.11	277.75872	1274.912525
2015-05-19T10:05	53.567	8.5552	188	88.36	101.79072	467.2194048
2015-05-19T10:15	53.567	8.5552	456	214.32	246.89664	1133.255578
2015-05-19T10:25	53.567	8.5552	641	301.27	347.06304	1593.019354
2015-05-19T10:35	53.567	8.5553	557	261.79	301.58208	1384.261747
2015-05-19T10:45	53.567	8.5553	702	329.94	380.09088	1744.617139
2015-05-19T10:55	53.567	8.5552	501	235.47	271.26144	1245.09001
2015-05-19T11:05	53.567	8.5552	473	222.31	256.10112	1175.504141
2015-05-19T11:15	53.567	8.5552	725	340.75	392.544	1801.77696
2015-05-19T11:25	53.567	8.5552	616	289.52	333.52704	1530.889114
2015-05-19T11:35	53.567	8.5552	629	295.63	340.56576	1563.196838
2015-05-19T11:45	53.567	8.5552	547	257.09	296.16768	1359.409651
2015-05-19T11:55	53.567	8.5553	326	153.22	176.50944	810.1783296
2015-05-19T12:05	53.5671	8.555	254	119.38	137.52576	631.2432384
2015-05-19T12:15	53.569	8.5537	398	187.06	215.49312	989.1134208
2015-05-19T12:25	53.5733	8.5506	29	13.63	15.70176	72.0710784
2015-05-19T12:35	53.5698	8.5497	76	35.72	41.14944	188.8759296
2015-05-19T12:45	53.5698	8.5497	704	330.88	381.17376	1749.587558
2015-05-19T12:55	53.5697	8.5497	367	172.49	198.70848	912.0719232
2015-05-19T13:05	53.5629	8.5462	239	112.33	129.40416	593.9650944
2015-05-19T13:15	53.5727	8.5358	32	15.04	17.32608	79.5267072
2015-05-19T13:25	53.5871	8.522	43	20.21	23.28192	106.8640128
2015-05-19T13:35	53.6073	8.4997	259	121.73	140.23296	643.6692864
2015-05-19T13:45	53.6312	8.4522	124	58.28	67.13856	308.1659904
2015-05-19T13:55	53.6546	8.3987	401	188.47	217.11744	996.5690496
2015-05-19T14:05	53.6862	8.3542	564	265.08	305.37216	1401.658214
2015-05-19T14:15	53.7131	8.3007	209	98.23	113.16096	519.4088064
2015-05-19T14:25	53.7361	8.2395	141	66.27	76.34304	350.4145536
2015-05-19T14:35	53.7654	8.1841	114	53.58	61.72416	283.3138944
2015-05-19T14:45	53.8009	8.1363	160	75.2	86.6304	397.633536
2015-05-19T14:55	53.8325	8.0837	436	204.92	236.06784	1083.551386
2015-05-19T15:05	53.851	8.0175	606	284.82	328.11264	1506.037018
2015-05-19T15:15	53.8584	7.9621	155	72.85	83.9232	385.207488
2015-05-19T15:25	53.8654	7.9086	30	14.1	16.2432	74.556288
2015-05-19T15:35	53.8792	7.8657	131	61.57	70.92864	325.5624576
2015-05-19T15:45	53.882	7.8147	476	223.72	257.72544	1182.95977
2015-05-19T15:55	53.8862	7.7634	299	140.53	161.89056	743.0776704
2015-05-19T16:05	53.9074	7.7315	166	78.02	89.87904	412.5447936
2015-05-19T16:15	53.9338	7.7077	124	58.28	67.13856	308.1659904
2015-05-19T16:25	53.9602	7.6839	238	111.86	128.86272	591.4798848
2015-05-19T16:35	53.9863	7.6604	388	182.36	210.07872	964.2613248
2015-05-19T16:45	54.0121	7.637	311	146.17	168.38784	772.9001856
2015-05-19T16:55	54.038	7.6135	286	134.42	154.85184	710.7699456
2015-05-19T17:05	54.0645	7.5897	261	122.67	141.31584	648.6397056
2015-05-19T17:15	54.091	7.5663	254	119.38	137.52576	631.2432384
2015-05-19T17:25	54.1176	7.5433	219	102.93	118.57536	544.2609024
2015-05-19T17:35	54.1435	7.5209	204	95.88	110.45376	506.9827584
2015-05-19T17:45	54.1693	7.4986	176	82.72	95.29344	437.3968896
2015-05-19T17:55	54.1951	7.4761	108	50.76	58.47552	268.4026368
2015-05-19T18:05	54.2211	7.4551	146	68.62	79.05024	362.8406016
2015-05-19T18:15	54.2474	7.4357	120	56.4	64.9728	298.225152
2015-05-19T18:25	54.2736	7.4149	94	44.18	50.89536	233.6097024
2015-05-19T18:35	54.3005	7.3934	73	34.31	39.52512	181.4203008
2015-05-19T18:45	54.3282	7.3712	56	26.32	30.32064	139.1717376
2015-05-19T18:55	54.3556	7.3492	39	18.33	21.11616	96.9231744
2015-05-19T19:05	54.3822	7.328	19	8.93	10.28736	47.2189824
2015-05-19T19:15	54.4089	7.3066	9	4.23	4.87296	22.3668864
2015-05-19T19:25	54.4366	7.2887	6	2.82	3.24864	14.9112576
2015-05-19T19:35	54.464	7.2715	3	1.41	1.62432	7.4556288
2015-05-19T19:45	54.4914	7.2537	1	0.47	0.54144	2.4852096
2015-05-19T19:55	54.5174	7.2312	0	0	0	0
2015-05-19T20:05	54.5429	7.2079	-1	-0.47	-0.54144	-2.4852096
2015-05-19T20:15	54.5683	7.1846	-1	-0.47	-0.54144	-2.4852096
2015-05-19T20:25	54.5938	7.1613	-1	-0.47	-0.54144	-2.4852096
2015-05-19T20:35	54.6193	7.1379	-1	-0.47	-0.54144	-2.4852096
2015-05-19T20:45	54.6455	7.1164	-1	-0.47	-0.54144	-2.4852096
2015-05-19T20:55	54.6718	7.0953	-1	-0.47	-0.54144	-2.4852096
2015-05-19T21:05	54.698	7.074	-1	-0.47	-0.54144	-2.4852096
2015-05-19T21:15	54.7243	7.0529	-1	-0.47	-0.54144	-2.4852096
2015-05-19T21:25	54.7506	7.0316	-1	-0.47	-0.54144	-2.4852096
2015-05-19T21:35	54.7772	7.0101	-1	-0.47	-0.54144	-2.4852096
2015-05-19T21:45	54.8039	6.9886	-1	-0.47	-0.54144	-2.4852096
2015-05-19T21:55	54.8306	6.9669	-1	-0.47	-0.54144	-2.4852096
2015-05-19T22:05	54.8575	6.9451	-1	-0.47	-0.54144	-2.4852096
2015-05-19T22:15	54.8844	6.9234	0	0	0	0
2015-05-19T22:25	54.91	6.9025	0	0	0	0
2015-05-19T22:35	54.9345	6.8827	0	0	0	0
2015-05-19T22:45	54.9596	6.8624	0	0	0	0
2015-05-19T22:55	54.9846	6.8419	0	0	0	0
2015-05-19T23:05	55.0099	6.8215	-1	-0.47	-0.54144	-2.4852096
2015-05-19T23:15	55.0352	6.8009	-1	-0.47	-0.54144	-2.4852096
2015-05-19T23:25	55.0608	6.7801	-1	-0.47	-0.54144	-2.4852096
2015-05-19T23:35	55.087	6.7621	-1	-0.47	-0.54144	-2.4852096
2015-05-19T23:45	55.1147	6.7482	-1	-0.47	-0.54144	-2.4852096
2015-05-19T23:55	55.143	6.7349	-1	-0.47	-0.54144	-2.4852096
2015-05-20T00:05	55.1715	6.721	-1	-0.47	-0.54144	-2.4852096
2015-05-20T00:15	55.2001	6.7069	-1	-0.47	-0.54144	-2.4852096
2015-05-20T00:25	55.2287	6.6924	-1	-0.47	-0.54144	-2.4852096
2015-05-20T00:35	55.2573	6.6788	-1	-0.47	-0.54144	-2.4852096
2015-05-20T00:45	55.2864	6.6642	-1	-0.47	-0.54144	-2.4852096
2015-05-20T00:55	55.3156	6.6498	-1	-0.47	-0.54144	-2.4852096
2015-05-20T01:05	55.3445	6.6354	-1	-0.47	-0.54144	-2.4852096
2015-05-20T01:15	55.3753	6.6202	-1	-0.47	-0.54144	-2.4852096
2015-05-20T01:25	55.407	6.6052	-1	-0.47	-0.54144	-2.4852096
2015-05-20T01:35	55.4385	6.589	-1	-0.47	-0.54144	-2.4852096
2015-05-20T01:45	55.4691	6.59	-2	-0.94	-1.08288	-4.9704192
2015-05-20T01:55	55.4994	6.5842	-1	-0.47	-0.54144	-2.4852096
2015-05-20T02:05	55.5294	6.5615	-1	-0.47	-0.54144	-2.4852096
2015-05-20T02:15	55.5596	6.5391	-1	-0.47	-0.54144	-2.4852096
2015-05-20T02:25	55.5897	6.5163	-1	-0.47	-0.54144	-2.4852096
2015-05-20T02:35	55.621	6.4994	-1	-0.47	-0.54144	-2.4852096
2015-05-20T02:45	55.6524	6.4833	-1	-0.47	-0.54144	-2.4852096
2015-05-20T02:55	55.6839	6.4679	0	0	0	0
2015-05-20T03:05	55.7153	6.4519	0	0	0	0
2015-05-20T03:15	55.7468	6.4365	2	0.94	1.08288	4.9704192
2015-05-20T03:25	55.7782	6.4206	6	2.82	3.24864	14.9112576
2015-05-20T03:35	55.8096	6.4053	11	5.17	5.95584	27.3373056
2015-05-20T03:45	55.8363	6.3917	29	13.63	15.70176	72.0710784
2015-05-20T03:55	55.8651	6.3776	45	21.15	24.3648	111.834432
2015-05-20T04:05	55.8938	6.3635	61	28.67	33.02784	151.5977856
2015-05-20T04:15	55.9236	6.348	76	35.72	41.14944	188.8759296
2015-05-20T04:25	55.9547	6.3327	100	47	54.144	248.52096
2015-05-20T04:35	55.9858	6.3176	120	56.4	64.9728	298.225152
2015-05-20T04:45	56.0168	6.3016	144	67.68	77.96736	357.8701824
2015-05-20T04:55	56.0479	6.2863	173	81.31	93.66912	429.9412608
2015-05-20T05:05	56.0789	6.2708	128	60.16	69.30432	318.1068288
2015-05-20T05:15	56.1099	6.2547	216	101.52	116.95104	536.8052736
2015-05-20T05:25	56.1408	6.2392	238	111.86	128.86272	591.4798848
2015-05-20T05:35	56.1718	6.2239	263	123.61	142.39872	653.6101248
2015-05-20T05:45	56.2029	6.2082	284	133.48	153.76896	705.7995264
2015-05-20T05:55	56.2339	6.1924	311	146.17	168.38784	772.9001856
2015-05-20T06:05	56.2648	6.1772	345	162.15	186.7968	857.397312
2015-05-20T06:15	56.2952	6.1617	379	178.13	205.20576	941.8944384
2015-05-20T06:25	56.3258	6.1465	390	183.3	211.1616	969.231744
2015-05-20T06:35	56.3465	6.1299	340	159.8	184.0896	844.971264
2015-05-20T06:45	56.3472	6.1287	390	183.3	211.1616	969.231744
2015-05-20T06:55	56.3599	6.1195	479	225.13	259.34976	1190.415398
2015-05-20T07:05	56.3906	6.1055	533	250.51	288.58752	1324.616717
2015-05-20T07:15	56.4218	6.0942	510	239.7	276.1344	1267.456896
2015-05-20T07:25	56.453	6.083	408	191.76	220.90752	1013.965517
2015-05-20T07:35	56.4844	6.0719	497	233.59	269.09568	1235.149171
2015-05-20T07:45	56.5154	6.0583	364	171.08	197.08416	904.6162944
2015-05-20T07:55	56.5456	6.0436	523	245.81	283.17312	1299.764621
2015-05-20T08:05	56.5735	6.0291	589	276.83	318.90816	1463.788454
2015-05-20T08:15	56.6009	6.0137	290	136.3	157.0176	720.710784
2015-05-20T08:25	56.628	5.9988	289	135.83	156.47616	718.2255744
2015-05-20T08:35	56.655	5.9825	258	121.26	139.69152	641.1840768
2015-05-20T08:45	56.6818	5.9655	389	182.83	210.62016	966.7465344
2015-05-20T08:55	56.7094	5.9513	77	36.19	41.69088	191.3611392
2015-05-20T09:05	56.737	5.9377	124	58.28	67.13856	308.1659904
2015-05-20T09:15	56.7645	5.9236	224	105.28	121.28256	556.6869504
2015-05-20T09:25	56.7919	5.9092	255	119.85	138.0672	633.728448
2015-05-20T09:35	56.8203	5.8946	405	190.35	219.2832	1006.509888
2015-05-20T09:45	56.8506	5.8792	357	167.79	193.29408	887.2198272
2015-05-20T09:55	56.8795	5.8572	385	180.95	208.4544	956.805696
2015-05-20T10:05	56.9085	5.8351	533	250.51	288.58752	1324.616717
2015-05-20T10:15	56.9373	5.8124	393	184.71	212.78592	976.6873728
2015-05-20T10:25	56.9652	5.7911	154	72.38	83.38176	382.7222784
2015-05-20T10:35	56.9913	5.7705	296	139.12	160.26624	735.6220416
2015-05-20T10:45	57.0176	5.7505	625	293.75	338.4	1553.256
2015-05-20T10:55	57.0436	5.7301	470	220.9	254.4768	1168.048512
2015-05-20T11:05	57.0694	5.7097	712	334.64	385.50528	1769.469235
2015-05-20T11:15	57.0953	5.6903	775	364.25	419.616	1926.03744
2015-05-20T11:25	57.1205	5.6704	515	242.05	278.8416	1279.882944
2015-05-20T11:35	57.146	5.6501	503	236.41	272.34432	1250.060429
2015-05-20T11:45	57.1717	5.6303	524	246.28	283.71456	1302.24983
2015-05-20T11:55	57.1972	5.6101	427	200.69	231.19488	1061.184499
2015-05-20T12:05	57.2228	5.5905	352	165.44	190.58688	874.7937792
2015-05-20T12:15	57.2405	5.5749	325	152.75	175.968	807.69312
2015-05-20T12:25	57.2185	5.5941	550	258.5	297.792	1366.86528
2015-05-20T12:35	57.2207	5.5874	656	308.32	355.18464	1630.297498
2015-05-20T12:45	57.2467	5.5716	863	405.61	467.26272	2144.735885
2015-05-20T12:55	57.2719	5.5515	546	256.62	295.62624	1356.924442
2015-05-20T13:05	57.298	5.5319	388	182.36	210.07872	964.2613248
2015-05-20T13:15	57.3231	5.509	276	129.72	149.43744	685.9178496
2015-05-20T13:25	57.3457	5.4781	383	180.01	207.37152	951.8352768
2015-05-20T13:35	57.3679	5.4456	474	222.78	256.64256	1177.98935
2015-05-20T13:45	57.3915	5.4161	817	383.99	442.35648	2030.416243
2015-05-20T13:55	57.4149	5.386	743	349.21	402.28992	1846.510733
2015-05-20T14:05	57.4384	5.3567	717	336.99	388.21248	1781.895283
2015-05-20T14:15	57.4616	5.3266	611	287.17	330.81984	1518.463066
2015-05-20T14:25	57.4851	5.2966	664	312.08	359.51616	1650.179174
2015-05-20T14:35	57.5089	5.2669	592	278.24	320.53248	1471.244083
2015-05-20T14:45	57.5323	5.2367	664	312.08	359.51616	1650.179174
2015-05-20T14:55	57.5557	5.2068	570	267.9	308.6208	1416.569472
2015-05-20T15:05	57.5792	5.1765	561	263.67	303.74784	1394.202586
2015-05-20T15:15	57.6031	5.1459	507	238.29	274.51008	1260.001267
2015-05-20T15:25	57.6274	5.1151	397	186.59	214.95168	986.6282112
2015-05-20T15:35	57.6513	5.0842	507	238.29	274.51008	1260.001267
2015-05-20T15:45	57.6755	5.0534	484	227.48	262.05696	1202.841446
2015-05-20T15:55	57.7028	5.0353	460	216.2	249.0624	1143.196416
2015-05-20T16:05	57.7301	5.0183	450	211.5	243.648	1118.34432
2015-05-20T16:15	57.7514	4.9832	430	202.1	232.8192	1068.640128
2015-05-20T16:25	57.7718	4.9443	407	191.29	220.36608	1011.480307
2015-05-20T16:35	57.793	4.9055	385	180.95	208.4544	956.805696
2015-05-20T16:45	57.817	4.8727	363	170.61	196.54272	902.1310848
2015-05-20T16:55	57.8414	4.8408	340	159.8	184.0896	844.971264
2015-05-20T17:05	57.8663	4.8087	311	146.17	168.38784	772.9001856
2015-05-20T17:15	57.8914	4.7763	300	141	162.432	745.56288
2015-05-20T17:25	57.9168	4.7435	282	132.54	152.68608	700.8291072
2015-05-20T17:35	57.9424	4.7111	254	119.38	137.52576	631.2432384
2015-05-20T17:45	57.9679	4.6776	231	108.57	125.07264	574.0834176
2015-05-20T17:55	57.9937	4.6448	210	98.7	113.7024	521.894016
2015-05-20T18:05	58.0193	4.6115	191	89.77	103.41504	474.6750336
2015-05-20T18:15	58.0452	4.5786	169	79.43	91.50336	420.0004224
2015-05-20T18:25	58.0707	4.5455	150	70.5	81.216	372.78144
2015-05-20T18:35	58.0958	4.5129	131	61.57	70.92864	325.5624576
2015-05-20T18:45	58.1207	4.4806	112	52.64	60.64128	278.3434752
2015-05-20T18:55	58.1455	4.448	93	43.71	50.35392	231.1244928
2015-05-20T19:05	58.1705	4.416	76	35.72	41.14944	188.8759296
2015-05-20T19:15	58.1955	4.3836	60	28.2	32.4864	149.112576
2015-05-20T19:25	58.2205	4.3504	45	21.15	24.3648	111.834432
2015-05-20T19:35	58.2459	4.3181	30	14.1	16.2432	74.556288
2015-05-20T19:45	58.2715	4.285	19	8.93	10.28736	47.2189824
2015-05-20T19:55	58.2973	4.2505	11	5.17	5.95584	27.3373056
