hour,e,depth,e_z,station,tchl,pmax,alpha,beta,kd,p
0.0,55.35692204399999,0.0,55.35692204399999,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.3720490591050596
0.0,55.35692204399999,2.1,40.39886582149069,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.0195182418251925
0.0,55.35692204399999,5.0,26.148758436277358,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.146117002791538
0.0,55.35692204399999,10.0,12.351798881001862,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.4669069675066623
0.0,55.35692204399999,15.0,5.834576657569173,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.2353901409921696
0.0,55.35692204399999,30.0,0.614959855354545,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.024431999137093357
0.0,55.35692204399999,50.0,0.03061704836202846,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,1.4153892546267565e-4
1.0,56.789369243999985,0.0,56.789369243999985,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.3991184728587998
1.0,56.789369243999985,2.1,41.444249851028545,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.048864938677658
1.0,56.789369243999985,5.0,26.825398582124876,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.1694141607924713
1.0,56.789369243999985,10.0,12.671421054142032,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.4745341803311571
1.0,56.789369243999985,15.0,5.985555481674986,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.24100438112407477
1.0,56.789369243999985,30.0,0.6308729063405599,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.02505834486170825
1.0,56.789369243999985,50.0,0.03140931251941049,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,1.4519863874375185e-4
2.0,70.33315751999999,0.0,70.33315751999999,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.6101176473139875
2.0,70.33315751999999,2.1,51.32835585030904,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.290221981413987
2.0,70.33315751999999,5.0,33.22303116111317,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.3765979720032966
2.0,70.33315751999999,10.0,15.693448701182337,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.5381007576239047
2.0,70.33315751999999,15.0,7.4130602635954554,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.292974654641351
2.0,70.33315751999999,30.0,0.7813308034133306,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.030965916741449197
2.0,70.33315751999999,50.0,0.03890017012745756,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,1.797941797155549e-4
3.0,81.019213632,0.0,81.019213632,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.7301276329090576
3.0,81.019213632,2.1,59.1269207106615,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.4411543237819195
3.0,81.019213632,5.0,38.270766649135666,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.5244487182553499
3.0,81.019213632,10.0,18.07783011280801,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.5783168477751569
3.0,81.019213632,15.0,8.539362291424828,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.33259297123577325
3.0,81.019213632,30.0,0.9000421637690019,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.03560850157262536
3.0,81.019213632,50.0,0.044810460741527496,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,2.0708108491975256e-4
4.0,92.614873716,0.0,92.614873716,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.8260513321963954
4.0,92.614873716,2.1,67.58930442977051,PS92_47-04,3.292,3.22740329,0.0801157205842754,9.42329911555438e-4,0.15,2.573292649997589
4.0,92.614873716,5.0,43.74816862977133,PS92_47-04,2.69,3.31289695,0.054479225783226,0.00128923053673241,0.15,1.6707151902194595
4.0,92.614873716,10.0,20.665171604377683,PS92_47-04,2.932,2.75187194,0.0543781526106819,0.0543781526106819,0.15,0.6132801172829817
4.0,92.614873716,15.0,9.76153587256139,PS92_47-04,1.885,1.6443495,0.0435910422406102,3.01430122523068e-4,0.15,0.37424604052034527
4.0,92.614873716,30.0,1.0288583115007923,PS92_47-04,1.681,1.39119544,0.0400912450082601,4.93529545025213e-4,0.15,0.04062788429871046
4.0,92.614873716,50.0,0.05122383909553502,PS92_47-04,0.177,0.09573786,0.00462636132645001,4.13430955679951e-5,0.15,2.3668169614128964e-4
